PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
9324,Barry,314280,168880,Cabot Carbon Ltd,Chemical industry,3624.545455,Wales
8460,Lodge Lane Brickworks,397470,308000,Ibstock Brick Ltd,Other mineral industries,3430.6509,England
8926,Ewhurst Brickworks,511500,137200,Wienerberger Ltd,Other mineral industries,3401.033637,England
8450,Birtley Brickworks,426550,555670,Ibstock Brick Ltd,Other mineral industries,3389.575514,England
14236,Wilnecote Works,421950,300310,Hanson Building Products Ltd,Other mineral industries,3362.224666,England
9123,Leek,397490,357000,Tessenderlo Fine Chemicals Ltd,Chemical industry,3354.545455,England
10369,Rawcliffe Bridge,470200,421300,Croda Chemicals Europe Ltd,Chemical industry,3332.727273,England
13681,Purfleet,557340,177883,Civil and Marine Ltd,Other mineral industries,3291.277342,England
8323,Worthing,515400,104700,SmithKline Beecham Plc,Chemical industry,3149.578467,England
8917,Todhills Brickworks,421300,533800,Wienerberger Ltd,Other mineral industries,3145.482248,England
40259,Runcorn,356853,379617,Saint-Gobain Isover UK Ltd,Other mineral industries,3043.611712,England
13686,Hartlepool Pipe Mill,450869,528850,Tata Steel UK Ltd,Iron & steel industries,3000.757893,England
12105,Teeside Polyethylene Plant,458000,522000,Sabic UK Petrochemicals Ltd,Chemical industry,2989.090909,England
13672,Scunthorpe,491300,410300,Caparo Merchant Bar plc,Iron & steel industries,2975.274728,England
43094,West Thurrock,559390,177385,Procter & Gamble Product Supply (UK) Ltd,Chemical industry,2943.610274,England
8681,Ware,535120,214480,GlaxoSmithKline Plc,Chemical industry,2910.458471,England
40257,Linford Blocks,566856,179801,Tarmac Building Products Ltd,Other mineral industries,2905.639601,England
14660,Runcorn,349810,381143,Vynova Runcorn Ltd,Chemical industry,2860.082561,England
13693,Cloud Hill Quarry,440600,323000,Breedon Aggregates England Ltd,Other mineral industries,2824.153061,England
9320,Middlesbrough,450450,520370,Haltermann Ltd,Chemical industry,2760.228273,England
8173,Cawthorne,426900,407200,Naylor Drainage,Other mineral industries,2748.866654,England
13221,Glensanda Quarry,182990,747522,Aggregate Industries Ltd,Other mineral industries,2735.061273,Scotland
8598,Ellesmere Port,341600,376500,The Associated Octel Co Ltd,Chemical industry,2731.527532,England
14332,Grimsby Chemical Works,524040,412080,BASF Public Ltd Company,Chemical industry,2727.272727,England
40193,Hams Hall,420622,292362,Forterra Building Products Ltd,Other mineral industries,2727.272727,England
9120,Hendon Dock,441300,556800,Solvent Resource Management Ltd,Chemical industry,2727.272727,England
7630,Liverpool,343420,398660,Baker Hughes Ltd,Chemical industry,2727.272727,England
13592,Pilkington Sullivan Site,352900,385400,Saffil Ltd,Chemical industry,2727.272727,England
13938,"Hillwood Quarry, Ratho, Midlothian",312802,672031,Tarmac Limited,Other mineral industries,2727.272727,Scotland
9503,King's Lynn,561220,321790,Pil Membranes Ltd,Chemical industry,2727.272727,England
9846,Stallingborough,523100,413700,Synthomer Ltd,Chemical industry,2727.272727,England
13689,Mountsorrel Asphalt,456900,315430,Lafarge Aggregates Ltd,Other mineral industries,2662.705282,England
14021,Mold,323287,364785,Synthite Ltd,Chemical industry,2610.512695,Wales
13690,Harper Lane Asphalt,516200,201730,Lafarge Aggregates Ltd,Other mineral industries,2589.844707,England
8447,Aldridge Brickworks,404580,302270,Ibstock Brick Ltd,Other mineral industries,2582.940935,England
6539,Macclesfield,392200,375200,Dalkia Utilities Services Plc,Chemical industry,2558.415916,England
8485,Blockleys Brickworks,368370,312200,Blockleys Brick Ltd,Other mineral industries,2533.833532,England
13674,Cliffe Hill Asphalt,445200,310800,Midland Quarry Products Ltd,Other mineral industries,2522.412335,England
13659,Cross Green Asphalt,432250,431780,Lafarge Tarmac Trading Ltd,Other mineral industries,2521.463795,England
8048,Boulby Mine,476370,518630,Cleveland Potash Ltd,Other mineral industries,2476.674821,England
8432,Northcot Brickworks,418300,236900,Northcot Brick Ltd,Other mineral industries,2469.737007,England
14698,Dalzell Works,275802,656788,Liberty Steel Dalzell Ltd,Iron & steel industries,2457.998059,Scotland
8170,Dreadnought Brickworks,390575,289415,Hinton Perry & Davenhill Ltd,Other mineral industries,2456.114613,England
40397,Orchard Mill,368810,422770,Perspex International Ltd,Chemical industry,2440.909091,England
14403,Colnbrook,503100,175900,Aggregate Industries UK Ltd,Other mineral industries,2357.87676,England
13622,Livingston,305550,669656,Wyman Gordon Ltd,Iron & steel industries,2352.962384,Scotland
8566,Lee Moor Site,256600,60900,Imerys Minerals Ltd,Other mineral industries,2351.45076,England
13662,Hayes Asphalt,510522,179515,Lafarge Tarmac Trading Ltd,Other mineral industries,2348.316968,England
9015,Montrose,372000,757170,GlaxoSmithKline,Chemical industry,2345.744441,Scotland
8569,St Dennis,194750,57250,Imerys Minerals Ltd,Other mineral industries,2275.901054,England
43113,Hillhouse International,334219,443549,Victrex plc,Chemical industry,2257.934495,England
13683,West Drayton,507618,179910,Hanson Quarry Products Europe Ltd,Other mineral industries,2253.216112,England
8171,Ulverston,330730,477550,Glaxo Operations UK Ltd,Chemical industry,2235.423344,England
13762,Wilton Aniline Plant,459764,521369,Huntsman Polyurethanes (UK) Ltd,Chemical industry,2175.027259,England
7124,Haverhill,566870,244880,International Flavours & Fragrances (GB) Ltd,Chemical industry,2151.545455,England
13694,Leaton Quarry,361534,311357,Breedon Aggregates England Ltd,Other mineral industries,2045.978855,England
8659,Oldbury,399190,288430,Rhodia Consumer Specialties Ltd,Chemical industry,2032.045413,England
14443,Hillhouse Quarry,234623,634184,Hillhouse Quarry Group Ltd,Other mineral industries,2007.862996,Scotland
8925,Smeed Dean Brickworks,592200,165300,Wienerberger Ltd,Other mineral industries,1917.891046,England
13698,Dagenham,548894,181891,Eurovia Infrastructure Ltd,Other mineral industries,1906.227575,England
8360,Widnes,352580,387790,Rockwood Additives Ltd,Chemical industry,1885.593191,England
9657,Leven,337000,701500,Silberline Ltd,Chemical industry,1786.090909,Scotland
13660,Halecombe Asphalt,370230,147430,Lafarge Tarmac Trading Ltd,Other mineral industries,1771.981189,England
40607,Speke Pharmaceutical Works FLEMING ROAD MERSEYSIDE,343563,384561,Elanco UK AH Limited,Chemical industry,1738.563147,England
13734,Exhall,435796,285104,Monier Redland Ltd,Other mineral industries,1709.292821,England
9071,Glasgow,268950,656130,Raeburn Brick Ltd,Other mineral industries,1613.706537,Scotland
13743,Saltend,516200,428100,INEOS Manufacturing (Hull) Ltd,Chemical industry,1596.473168,England
8483,Michelmersh Brickworks,434400,125820,Michelmersh Brick & Tile Co Ltd,Other mineral industries,1556.595562,England
43111,Trafford Park,378454,397132,Lanxess Solutions UK Ltd,Chemical industry,1512.520628,England
13656,Bredbury Asphalt,392200,392000,Lafarge Tarmac Trading Ltd,Other mineral industries,1500.208669,England
13678,Dagenham,549100,182000,Hanson Quarry Products Europe Ltd,Other mineral industries,1441.699552,England
14192,Purfleet,556659,177111,Aggregate Industries UK Ltd,Other mineral industries,1428.236067,England
14016,Dolyhir Asphalt,323797,258194,Lafarge Tarmac Trading Ltd,Other mineral industries,1420.415561,Wales
13676,Allington,574400,157900,Hanson Quarry Products Europe Ltd,Other mineral industries,1419.03327,England
