ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
13658,Clitheroe Asphalt,374700,443100,Lafarge Tarmac Trading Ltd,Other mineral industries,588.5454545,England,53.883467019631176,-2.386367645173989
14194,Northfleet,561646,174938,North Kent Roadstone Ltd,Other mineral industries,586.0420009,England,51.45035652854427,0.3249225325441875
13664,Mancetter Asphalt,431000,295700,Lafarge Tarmac Trading Ltd,Other mineral industries,574.1765836,England,52.558259868300645,-1.5441715261808577
40730,Forest Wood Asphalt,301917,179826,Breedon Southern Ltd,Other mineral industries,553.9233491,Wales,51.50882125993936,-3.414696288764268
13703,Moorcroft Asphalt,252064,53872,Aggregate Industries UK Ltd,Other mineral industries,552.0448718,England,50.366106328632334,-4.081426317204751
8064,Cradley Heath Brickworks,394800,285300,Cradley Special Brick Co Ltd,Other mineral industries,534.4018078,England,52.46561535789448,-2.0779683869772403
13669,Tendley Quarry,309000,528600,Tendley Quarries Ltd,Other mineral industries,489.0891627,England,54.64427037826264,-3.411648699404833
13657,Caldon Low Asphalt,407400,349000,Lafarge Tarmac Trading Ltd,Other mineral industries,476.5554545,England,53.03822547377747,-1.8910899871012565
13661,Harlow Asphalt,547050,212220,Lafarge Tarmac Trading Ltd,Other mineral industries,460.7603727,England,51.78931449399028,0.13066304699791176
9436,Titan Works,561240,178510,Industrial Chemicals Ltd,Chemical industry,431.7272727,England,51.482563533087735,0.3207127903139625
13941,Cononish Gold Mine Tyndrum,229131,728622,Scotgold Resources Limited,Other mineral industries,431.553,Scotland,56.41879867692413,-4.771660456575003
13737,Coopers Bank,391390,290300,GDC Group Ltd,Other mineral industries,414.7910591,England,52.51052113189877,-2.128292073930694
40496,Wilton Energy Centre,457000,522300,ENGIE FM Ltd,Chemical industry,400.0104545,England,54.592681822156365,-1.119380476107501
14018,Torcoed Asphalt,249492,214492,Lafarge Tarmac Trading Ltd,Other mineral industries,376.5447136,Wales,51.8087465252347,-4.184551136553045
14956,Sheffield,440568,389690,Aggregate Industries UK Ltd,Other mineral industries,329.1840245,England,53.40248045863709,-1.3912935447560764
9482,Rhymney,310600,208300,Convatec Ltd,Chemical industry,325.4974636,Wales,51.76621509679411,-3.2968992583514636
13679,Pateley Bridge,411629,464258,Hanson Quarry Products Europe Ltd,Other mineral industries,297.5139655,England,54.074122304152745,-1.8237742415291078
14191,Melbur Asphalt,191559,56192,Aggregate Industries UK Ltd,Other mineral industries,289.8083155,England,50.368618525326255,-4.932437936935039
2008,West Bromwich,398660,291830,Robinson Brothers Ltd,Chemical industry,289.1397032,England,52.524343557831465,-2.0211804380215
13358,East Leake Gypsum Works,455503,328085,BPB United Kingdom Ltd,Other mineral industries,273.5617745,England,52.8474167382595,-1.1773214765274649
9670,Livingston,307029,665639,Valneva Scotland Limited,Chemical industry,266.085,Scotland,55.87490884847608,-3.4874835932720094
13349,Robertsbridge Gypsum Works,572400,119700,BPB United Kingdom Ltd,Other mineral industries,256.8438573,England,50.95095160378117,0.45302736050550224
11982,Runcorn,351280,381110,Mexichem UK Ltd,Chemical industry,244.9090909,England,53.324655652520235,-2.7329128130349924
13839,"Vauxhall Industrial Estate, Ruabon, Wrexham",330500,345601,Morgan Technical Ceramics,Other mineral industries,205.0630909,Wales,53.003196308354426,-3.0371178610796825
992,Tipton,398190,292980,Ervin Amasteel,Iron & steel industries,203.8334738,England,52.5346804632569,-2.028114393113128
1113,Sheepbridge,437230,374570,GKN Sheepbridge Stokes Ltd,Iron & steel industries,201.2170246,England,53.26682366446165,-1.4432683471588383
14699,Clydebridge Works,263681,661076,Liberty Steel Clydebridge Ltd,Iron & steel industries,192.70839,Scotland,55.8236228636931,-4.177526991189155
8951,Oldbury,399800,288810,BIP (Oldbury) Ltd,Chemical industry,170.7549436,England,52.49719587894341,-2.0043752082584545
8449,Atlas Brickworks,404850,301250,Ibstock Brick Ltd,Other mineral industries,159.4806545,England,52.60900901752022,-1.929811994635326
6699,Rainford,348900,399310,Unifrax Ltd,Other mineral industries,156.4676708,England,53.488007516539234,-2.771596431629919
8629,Gloucester,388700,216300,Invista Textiles (UK) Ltd,Chemical industry,131.4147273,England,51.84518311409379,-2.1654363786657225
