PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
8736,Wombourne,385800,291700,McCain Foods (GB) Ltd,"Food, drink & tobacco industry",2698.67601,England
13621,Lisahally,63657,582917,Foyle Food Group Ltd,"Food, drink & tobacco industry",2687.848274,Northern Ireland
13067,Bournville,404820,281020,Kraft Foods UK Ltd,"Food, drink & tobacco industry",2583.350048,England
14407,Hartshill,433200,295100,Sarval (Hartshill) Ltd,"Food, drink & tobacco industry",2567.797669,England
11085,Aspatria Creamery,314400,541200,The First Milk Cheese Co Ltd,"Food, drink & tobacco industry",2518.699001,England
8991,Magheralin,124092,516204,Glanbia Cheese Ltd,"Food, drink & tobacco industry",2506.510197,Northern Ireland
7695,Watton,590250,300480,Bowes of Norfolk Ltd,"Food, drink & tobacco industry",2443.090909,England
14408,Widnes,350400,384050,Secanim Ltd,"Food, drink & tobacco industry",2420.239849,England
9254,Oakthorpe Dairy,532041,192376,Arla Foods Ltd,"Food, drink & tobacco industry",2365.090909,England
13633,Motherwell,279900,659900,Dundas Chemical Company (Mosspark) Ltd,"Food, drink & tobacco industry",2339.77023,Scotland
14423,Davidstow Creamery,213825,86588,Dairy Crest Ltd,"Food, drink & tobacco industry",2329.157378,England
13053,Runcton,488960,102180,Vitacress Herbs Ltd,"Agriculture, forestry & fishing",2290.497344,England
7567,Selby,463150,433150,Greencore Grocery,"Food, drink & tobacco industry",2285.181818,England
40723,Nestle Fawdon,422343,568662,Nestl̩ UK Ltd,"Food, drink & tobacco industry",2259.869815,England
13206,Cookstown,94628,538005,Vion Food Group Ltd,"Food, drink & tobacco industry",2245.364,Northern Ireland
8620,Gatwick Airport,527500,140700,Gatwick Airport Ltd,Commercial,2235.925574,England
8893,Manchester Airport,382242,385056,Manchester Airport Plc,Commercial,2233.200895,England
12681,Oldham,339280,404020,Park Cakes Ltd,"Food, drink & tobacco industry",2185.090909,England
11446,Invergordon Distillery,271500,869110,Whyte & Mackay Ltd,"Food, drink & tobacco industry",2162.454545,Scotland
8189,Cleveland Nurseries CHP,453100,508000,Jan Bezemer & Sons Ltd,"Agriculture, forestry & fishing",2143.045956,England
40292,Glenavy,125471,529575,Linergy Ltd,"Food, drink & tobacco industry",2129.266075,Northern Ireland
8996,Newtownards,159412,528943,Pritchitts,"Food, drink & tobacco industry",2117.856281,Northern Ireland
6454,Lancaster,348400,463000,Abaris Holdings Ltd,"Textiles, clothing, leather & footwear",2113.636364,England
9616,Harverfordwest Creamery,194920,214490,The First Milk Cheese Co Ltd,"Food, drink & tobacco industry",2064.762886,Wales
14967,Chadderton Power Station,390665,405112,UK Power Reserve Ltd,Commercial,2051.055987,England
13630,Glenlossie Distillery,321260,857240,Diageo Scotland Ltd,"Food, drink & tobacco industry",2034.400865,Scotland
13738,Royal Victoria Dock,540699,180693,EXCEL District Energy Company Ltd,Commercial,2009.634595,England
13741,Bulmers Cider Mills,350222,240345,Heineken UK Ltd,"Food, drink & tobacco industry",1977.345303,England
14965,Cadishead Power Station,371532,392258,UK Power Reserve Ltd,Commercial,1914.074757,England
11953,Peel Media City Energy Centre,380435,397583,Utilities Services (Mediacity UK) Ltd,Commercial,1897.369636,England
12159,Girvan,220123,600327,Nestle UK Ltd,"Food, drink & tobacco industry",1881.818182,Scotland
12015,Allensmore,346260,233720,Cargill Meats Europe Sun Valley Foods Ltd,"Food, drink & tobacco industry",1827.545455,England
13716,Devon Valley Mill,299349,102406,Devon Valley Ltd,"Paper, printing & publishing industries",1815.958058,England
40270,Low Marnham,480542,369449,J G Pears (Newark) Ltd,"Food, drink & tobacco industry",1758.835369,England
9034,Leven,336500,701500,Diageo Plc,"Food, drink & tobacco industry",1704.472265,Scotland
8423,Winchcombe,400830,227200,Hollingsworth & Vose Co Ltd,"Paper, printing & publishing industries",1703.672935,England
13624,Rothes,327800,849700,The Combination Of Rothes Distillers Ltd,"Food, drink & tobacco industry",1656.45,Scotland
13259,Cullompton,303100,108200,Higher Kings Mill Ltd,"Paper, printing & publishing industries",1646.074265,England
41297,David Jack Research Centre,534790,214440,GlaxoSmithKline Research & Development Ltd,Commercial,1644.54762,England
43109,Basildon,571350,190416,CNH Industrial N.V.,"Agriculture, forestry & fishing",1615.159803,England
12002,Hazel Grove,390600,386600,NXP Semiconductors UK Ltd,Electrical engineering,1605.3936,England
40295,East Tullos,395569,804018,Pelagia (UK) Ltd,"Food, drink & tobacco industry",1547.410159,Scotland
1903,Southend-On-Sea,594490,185470,Qinetiq Ltd,Commercial,1537.828379,England
8070,Bolton,372280,409880,Vernacare Ltd,"Paper, printing & publishing industries",1527.405652,England
11075,Burton Plant,423460,322670,Unilever UK Ltd,"Food, drink & tobacco industry",1483.458207,England
40104,Southall Ready Meals Factory,514190,179980,Noon Products Ltd,"Food, drink & tobacco industry",1453.909091,England
8488,Pool Paper Mills,423700,445400,Whiteley Ltd,"Paper, printing & publishing industries",1435.021677,England
9459,Longbenton,426400,569400,Greggs Plc,"Food, drink & tobacco industry",1411.636364,England
13068,Chirk,328700,337890,Kraft Foods UK Ltd,"Food, drink & tobacco industry",1391.215434,Wales
8946,Birmingham,419070,283700,The National Exhibition Centre Ltd,Commercial,1380.238527,England
14437,Bury St Edmunds,584864,266369,Mizkan Euro Ltd,"Food, drink & tobacco industry",1345.273361,England
9465,North Western Mills,370900,353800,Morning Foods Ltd,"Food, drink & tobacco industry",1344,England
14925,Macallan Distillery,327638,844371,The Macallan Distillers Ltd,"Food, drink & tobacco industry",1342.829618,Scotland
9615,Burton-On-Trent,423200,323400,Marston's Plc,"Food, drink & tobacco industry",1286.394941,England
8348,Radcliffe Pulp Mill,376800,406750,Ahlstrom Chirnside Ltd,"Paper, printing & publishing industries",1275.116266,England
13446,Simpson Clough Paper Mill,385260,412110,Union Papertech Ltd,"Paper, printing & publishing industries",1270.142787,England
8127,Keyingham,525200,425100,Mill Nurseries Ltd,"Agriculture, forestry & fishing",1232.441288,England
11614,Ringstead,497000,278280,Dodson & Horrell Ltd,"Food, drink & tobacco industry",1227.903818,England
